run_id	library_id	animal_id	biological_replicate_id	biological_replicate_type	day_post_infection	infection_design	parasite_lineage_isolate	per_cell_parasite_genotype	parasite_origin_location	host_provenance	experimental_site	sequencing_site	registry_location	host_species	technology	sequencer_registered	sequencer_protocol_publication	host_sex	source_run_count_deposited	source_run_count_imported	source_run_count_retained
SRR27021975	5164_2	5164	5164	animal	16	Simultaneous infection	Chesson & NIH 1993	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021976	5164_1	5164	5164	animal	14	Simultaneous infection	Chesson & NIH 1993	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021980	5163_2	5163	5163	animal	16	Simultaneous infection	Chesson & NIH 1993	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021981	5163_1	5163	5163	animal	14	Simultaneous infection	Chesson & NIH 1993	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021982	5708_2	5708	5708	animal	21	Consecutive infection	Chesson then NIH 1993	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021983	5550_1	5550	5550	animal	17	Mono infection	NIH 1993	NIH1993-F3	unresolved (NIH-1993-F3; closely related to but distinct from Salvador-I)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021984	5537_4	5537	5537	animal	26	Consecutive infection	NIH 1993 then Chesson	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021985	5537_3	5537	5537	animal	24	Consecutive infection	NIH 1993 then Chesson	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021986	5537_2	5537	5537	animal	21	Consecutive infection	NIH 1993 then Chesson	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021987	5537_1	5537	5537	animal	16	Mono infection	NIH 1993	NIH1993-F3	unresolved (NIH-1993-F3; closely related to but distinct from Salvador-I)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021991	5142_2	5142	5142	animal	17	Mono infection	NIH 1993	NIH1993-F3	unresolved (NIH-1993-F3; closely related to but distinct from Salvador-I)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021992	5142_1	5142	5142	animal	14	Mono infection	NIH 1993	NIH1993-F3	unresolved (NIH-1993-F3; closely related to but distinct from Salvador-I)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021993	5708_1	5708	5708	animal	17	Mono infection	Chesson	Chesson	Papua New Guinea	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021994	4881_1	4881	4881	animal	17	Mono infection	Chesson	Chesson	Papua New Guinea	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
