artifact	column	position
raw	PVP01_1015900	388
raw	PVP01_1016000	389
raw	PVP01_1016100	390
raw	PVP01_1016300	391
raw	PVP01_1016500	392
raw	PVP01_1016600	393
raw	PVP01_1017200	394
raw	PVP01_1017300	395
raw	PVP01_1017500	396
raw	PVP01_1017600	397
raw	PVP01_1017700	398
raw	PVP01_1017800	399
raw	PVP01_1018000	400
raw	PVP01_1018200	401
raw	PVP01_1018300	402
raw	PVP01_1018400	403
raw	PVP01_1018500	404
raw	PVP01_1018600	405
raw	PVP01_1018700	406
raw	PVP01_1018800	407
raw	PVP01_1019000	408
raw	PVP01_1019100	409
raw	PVP01_1019200	410
raw	PVP01_1019300	411
raw	PVP01_1019400	412
raw	PVP01_1019700	413
raw	PVP01_1019800	414
raw	PVP01_1019900	415
raw	PVP01_1020000	416
raw	PVP01_1020200	417
raw	PVP01_1020300	418
raw	PVP01_1020400	419
raw	PVP01_1020500	420
raw	PVP01_1020600	421
raw	PVP01_1020700	422
raw	PVP01_1020800	423
raw	PVP01_1020900	424
raw	PVP01_1021100	425
raw	PVP01_1021200	426
raw	PVP01_1021300	427
raw	PVP01_1021400	428
raw	PVP01_1021500	429
raw	PVP01_1021700	430
raw	PVP01_1021600	431
raw	PVP01_1021800	432
raw	PVP01_1021900	433
raw	PVP01_1022000	434
raw	PVP01_1022200	435
raw	PVP01_1022300	436
raw	PVP01_1022400	437
raw	PVP01_1022500	438
raw	PVP01_1022600	439
raw	PVP01_1022700	440
raw	PVP01_1022800	441
raw	PVP01_1022900	442
raw	PVP01_1023000	443
raw	PVP01_1023500	444
raw	PVP01_1023600	445
raw	PVP01_1023800	446
raw	PVP01_1023900	447
raw	PVP01_1024000	448
raw	PVP01_1024100	449
raw	PVP01_1024200	450
raw	PVP01_1024300	451
raw	PVP01_1024400	452
raw	PVP01_1024500	453
raw	PVP01_1024600	454
raw	PVP01_1024700	455
raw	PVP01_1024800	456
raw	PVP01_1025000	457
raw	PVP01_1025100	458
raw	PVP01_1025200	459
raw	PVP01_1025500	460
raw	PVP01_1025600	461
raw	PVP01_1025700	462
raw	PVP01_1025800	463
raw	PVP01_1025900	464
raw	PVP01_1026000	465
raw	PVP01_1026100	466
raw	PVP01_1026200	467
raw	PVP01_1026300	468
raw	PVP01_1026400	469
raw	PVP01_1026800	470
raw	PVP01_1026900	471
raw	PVP01_1027000	472
raw	PVP01_1027100	473
raw	PVP01_1027200	474
raw	PVP01_1027400	475
raw	PVP01_1027500	476
raw	PVP01_1027600	477
raw	PVP01_1027700	478
raw	PVP01_1027800	479
raw	PVP01_1027900	480
raw	PVP01_1028000	481
raw	PVP01_1028100	482
raw	PVP01_1028200	483
raw	PVP01_1028300	484
raw	PVP01_1028400	485
raw	PVP01_1028500	486
raw	PVP01_1028600	487
raw	PVP01_1028700	488
raw	PVP01_1028800	489
raw	PVP01_1028900	490
raw	PVP01_1029100	491
raw	PVP01_1029200	492
raw	PVP01_1029300	493
raw	PVP01_1029700	494
raw	PVP01_1029800	495
raw	PVP01_1029900	496
raw	PVP01_1030000	497
raw	PVP01_1030100	498
raw	PVP01_1030200	499
raw	PVP01_1030300	500
raw	PVP01_1030500	501
raw	PVP01_1030600	502
raw	PVP01_1030700	503
raw	PVP01_1030900	504
raw	PVP01_1031000	505
raw	PVP01_1031400	506
raw	PVP01_1031700	507
raw	PVP01_1031800	508
raw	PVP01_1031900	509
raw	PVP01_1032000	510
raw	PVP01_1032100	511
raw	PVP01_1032200	512
raw	PVP01_1032600	513
raw	PVP01_1032700	514
raw	PVP01_1032800	515
raw	PVP01_1032900	516
raw	PVP01_1033000	517
raw	PVP01_1033100	518
raw	PVP01_1033200	519
raw	PVP01_1403100	520
raw	PVP01_1403200	521
raw	PVP01_1403400	522
raw	PVP01_1403500	523
raw	PVP01_1403600	524
raw	PVP01_1403700	525
raw	PVP01_1403900	526
raw	PVP01_1404100	527
raw	PVP01_1404200	528
raw	PVP01_1404300	529
raw	PVP01_1404600	530
raw	PVP01_1404700	531
raw	PVP01_1404900	532
raw	PVP01_1405000	533
raw	PVP01_1405100	534
raw	PVP01_1405200	535
raw	PVP01_1405300	536
raw	PVP01_1405400	537
raw	PVP01_1405600	538
raw	PVP01_1405700	539
raw	PVP01_1405800	540
raw	PVP01_1405900	541
raw	PVP01_1406000	542
raw	PVP01_1406200	543
raw	PVP01_1406400	544
raw	PVP01_1406500	545
raw	PVP01_1406700	546
raw	PVP01_1407000	547
raw	PVP01_1407100	548
raw	PVP01_1407500	549
raw	PVP01_1407600	550
raw	PVP01_1407800	551
raw	PVP01_1407900	552
raw	PVP01_1408200	553
raw	PVP01_1408300	554
raw	PVP01_1408500	555
raw	PVP01_1408600	556
raw	PVP01_1408700	557
raw	PVP01_1408800	558
raw	PVP01_1408900	559
raw	PVP01_1409300	560
raw	PVP01_1409400	561
raw	PVP01_1409600	562
raw	PVP01_1409700	563
raw	PVP01_1409800	564
raw	PVP01_1409900	565
raw	PVP01_1410100	566
raw	PVP01_1410200	567
raw	PVP01_1410300	568
raw	PVP01_1410400	569
raw	PVP01_1410500	570
raw	PVP01_1410800	571
raw	PVP01_1410900	572
raw	PVP01_1411000	573
raw	PVP01_1411100	574
raw	PVP01_1411200	575
raw	PVP01_1411400	576
raw	PVP01_1411600	577
raw	PVP01_1411700	578
raw	PVP01_1411800	579
raw	PVP01_1412300	580
raw	PVP01_1412400	581
raw	PVP01_1412500	582
raw	PVP01_1412600	583
raw	PVP01_1412700	584
raw	PVP01_1412800	585
raw	PVP01_1412900	586
raw	PVP01_1413000	587
raw	PVP01_1413100	588
raw	PVP01_1413200	589
raw	PVP01_1413300	590
raw	PVP01_1413500	591
raw	PVP01_1413600	592
raw	PVP01_1413700	593
raw	PVP01_1413800	594
raw	PVP01_1413900	595
raw	PVP01_1414200	596
raw	PVP01_1414300	597
raw	PVP01_1414500	598
raw	PVP01_1414900	599
raw	PVP01_1415000	600
raw	PVP01_1415100	601
raw	PVP01_1415300	602
raw	PVP01_1415400	603
raw	PVP01_1415500	604
raw	PVP01_1415800	605
raw	PVP01_1415900	606
raw	PVP01_1416100	607
raw	PVP01_1416000	608
raw	PVP01_1416200	609
raw	PVP01_1416300	610
raw	PVP01_1416400	611
raw	PVP01_1416800	612
raw	PVP01_1416900	613
raw	PVP01_1417000	614
raw	PVP01_1417100	615
raw	PVP01_1417200	616
raw	PVP01_1417300	617
raw	PVP01_1417400	618
raw	PVP01_1417500	619
raw	PVP01_1417600	620
raw	PVP01_1417700	621
raw	PVP01_1417800	622
raw	PVP01_1417900	623
raw	PVP01_1418000	624
raw	PVP01_1418100	625
raw	PVP01_1418200	626
raw	PVP01_1418300	627
raw	PVP01_1418400	628
raw	PVP01_1418500	629
raw	PVP01_1418600	630
raw	PVP01_1419100	631
raw	PVP01_1419200	632
raw	PVP01_1419300	633
raw	PVP01_1419400	634
raw	PVP01_1419500	635
raw	PVP01_1419600	636
raw	PVP01_1419700	637
raw	PVP01_1419800	638
raw	PVP01_1419900	639
raw	PVP01_1420000	640
raw	PVP01_1420100	641
raw	PVP01_1420200	642
raw	PVP01_1420300	643
raw	PVP01_1420400	644
raw	PVP01_1420500	645
raw	PVP01_1420600	646
raw	PVP01_1420800	647
raw	PVP01_1420900	648
raw	PVP01_1421000	649
raw	PVP01_1421200	650
raw	PVP01_1421400	651
raw	PVP01_1421500	652
raw	PVP01_1421600	653
raw	PVP01_1421700	654
raw	PVP01_1422000	655
raw	PVP01_1422100	656
raw	PVP01_1422200	657
raw	PVP01_1422300	658
raw	PVP01_1422500	659
raw	PVP01_1422700	660
raw	PVP01_1422800	661
raw	PVP01_1422900	662
raw	PVP01_1423100	663
raw	PVP01_1423300	664
raw	PVP01_1423400	665
raw	PVP01_1423500	666
raw	PVP01_1423600	667
raw	PVP01_1423700	668
raw	PVP01_1424100	669
raw	PVP01_1424300	670
raw	PVP01_1424400	671
raw	PVP01_1424500	672
raw	PVP01_1424800	673
raw	PVP01_1424900	674
raw	PVP01_1425100	675
raw	PVP01_1425200	676
raw	PVP01_1425300	677
raw	PVP01_1425400	678
raw	PVP01_1425500	679
raw	PVP01_1425600	680
raw	PVP01_1425700	681
raw	PVP01_1425800	682
raw	PVP01_1425900	683
raw	PVP01_1426000	684
raw	PVP01_1426100	685
raw	PVP01_1426200	686
raw	PVP01_1426300	687
raw	PVP01_1426500	688
raw	PVP01_1426600	689
raw	PVP01_1426700	690
raw	PVP01_1426800	691
raw	PVP01_1426900	692
raw	PVP01_1427000	693
raw	PVP01_1427100	694
raw	PVP01_1427200	695
raw	PVP01_1427300	696
