source_feature_id	seurat_feature_id	total_umi	annotated_rrna_removed	retained_in_source_object
PVP01_0010250	PVP01-0010250	0	FALSE	FALSE
PVP01_0010660	PVP01-0010660	0	FALSE	FALSE
PVP01_0010970	PVP01-0010970	1	FALSE	TRUE
PVP01_0008770	PVP01-0008770	0	FALSE	FALSE
PVP01_0008780	PVP01-0008780	0	FALSE	FALSE
PVP01_0008790	PVP01-0008790	2	FALSE	TRUE
PVP01_0008800	PVP01-0008800	1	FALSE	TRUE
PVP01_0008810	PVP01-0008810	0	FALSE	FALSE
PVP01_0008820	PVP01-0008820	0	FALSE	FALSE
PVP01_0008830	PVP01-0008830	0	FALSE	FALSE
PVP01_0008840	PVP01-0008840	3	FALSE	TRUE
PVP01_0008700	PVP01-0008700	0	FALSE	FALSE
PVP01_0008710	PVP01-0008710	0	FALSE	FALSE
PVP01_0008720	PVP01-0008720	0	FALSE	FALSE
PVP01_0008730	PVP01-0008730	0	FALSE	FALSE
PVP01_0008740	PVP01-0008740	0	FALSE	FALSE
PVP01_0008750	PVP01-0008750	0	FALSE	FALSE
PVP01_0010650	PVP01-0010650	0	FALSE	FALSE
PVP01_0010460	PVP01-0010460	1	FALSE	TRUE
PVP01_0010530	PVP01-0010530	0	FALSE	FALSE
PVP01_0010350	PVP01-0010350	0	FALSE	FALSE
PVP01_0004690	PVP01-0004690	0	FALSE	FALSE
PVP01_0004700	PVP01-0004700	0	FALSE	FALSE
PVP01_0004710	PVP01-0004710	2	FALSE	TRUE
PVP01_0004720	PVP01-0004720	0	FALSE	FALSE
PVP01_0004730	PVP01-0004730	0	FALSE	FALSE
PVP01_0004740	PVP01-0004740	0	FALSE	FALSE
PVP01_0004750	PVP01-0004750	0	FALSE	FALSE
PVP01_0004760	PVP01-0004760	0	FALSE	FALSE
PVP01_0004770	PVP01-0004770	0	FALSE	FALSE
PVP01_0004780	PVP01-0004780	0	FALSE	FALSE
PVP01_0004790	PVP01-0004790	0	FALSE	FALSE
PVP01_0004800	PVP01-0004800	0	FALSE	FALSE
PVP01_0004810	PVP01-0004810	0	FALSE	FALSE
PVP01_0004820	PVP01-0004820	0	FALSE	FALSE
PVP01_0004830	PVP01-0004830	0	FALSE	FALSE
PVP01_0004840	PVP01-0004840	0	FALSE	FALSE
PVP01_0004850	PVP01-0004850	0	FALSE	FALSE
PVP01_0004860	PVP01-0004860	0	FALSE	FALSE
PVP01_0004870	PVP01-0004870	0	FALSE	FALSE
PVP01_0004880	PVP01-0004880	0	FALSE	FALSE
PVP01_0004890	PVP01-0004890	0	FALSE	FALSE
PVP01_0004900	PVP01-0004900	0	FALSE	FALSE
PVP01_0004910	PVP01-0004910	0	FALSE	FALSE
PVP01_0004920	PVP01-0004920	2	FALSE	TRUE
PVP01_0004930	PVP01-0004930	0	FALSE	FALSE
PVP01_0006810	PVP01-0006810	0	FALSE	FALSE
PVP01_0006820	PVP01-0006820	0	FALSE	FALSE
PVP01_0006830	PVP01-0006830	1	FALSE	TRUE
PVP01_0006840	PVP01-0006840	0	FALSE	FALSE
PVP01_0006850	PVP01-0006850	0	FALSE	FALSE
PVP01_0006860	PVP01-0006860	0	FALSE	FALSE
PVP01_0006870	PVP01-0006870	0	FALSE	FALSE
PVP01_0006880	PVP01-0006880	0	FALSE	FALSE
PVP01_0006890	PVP01-0006890	0	FALSE	FALSE
PVP01_0006900	PVP01-0006900	1	FALSE	TRUE
PVP01_0006910	PVP01-0006910	0	FALSE	FALSE
PVP01_0006920	PVP01-0006920	0	FALSE	FALSE
PVP01_0006930	PVP01-0006930	0	FALSE	FALSE
PVP01_0006940	PVP01-0006940	9	FALSE	TRUE
PVP01_0006950	PVP01-0006950	3	FALSE	TRUE
PVP01_0006960	PVP01-0006960	10	FALSE	TRUE
PVP01_0010680	PVP01-0010680	2	FALSE	TRUE
PVP01_0007820	PVP01-0007820	0	FALSE	FALSE
PVP01_0007830	PVP01-0007830	0	FALSE	FALSE
PVP01_0007840	PVP01-0007840	0	FALSE	FALSE
PVP01_0007850	PVP01-0007850	0	FALSE	FALSE
PVP01_0007860	PVP01-0007860	2	FALSE	TRUE
PVP01_0007870	PVP01-0007870	0	FALSE	FALSE
PVP01_0007880	PVP01-0007880	0	FALSE	FALSE
PVP01_0007890	PVP01-0007890	0	FALSE	FALSE
PVP01_0007900	PVP01-0007900	0	FALSE	FALSE
PVP01_0007910	PVP01-0007910	1	FALSE	TRUE
PVP01_0010260	PVP01-0010260	0	FALSE	FALSE
PVP01_0010270	PVP01-0010270	0	FALSE	FALSE
PVP01_0009980	PVP01-0009980	1	FALSE	TRUE
PVP01_0009990	PVP01-0009990	5	FALSE	TRUE
PVP01_0007480	PVP01-0007480	0	FALSE	FALSE
PVP01_0007490	PVP01-0007490	0	FALSE	FALSE
PVP01_0007500	PVP01-0007500	0	FALSE	FALSE
PVP01_0007510	PVP01-0007510	0	FALSE	FALSE
PVP01_0007520	PVP01-0007520	0	FALSE	FALSE
PVP01_0007530	PVP01-0007530	0	FALSE	FALSE
PVP01_0007540	PVP01-0007540	1	FALSE	TRUE
PVP01_0007550	PVP01-0007550	1	FALSE	TRUE
PVP01_0007560	PVP01-0007560	0	FALSE	FALSE
PVP01_0007570	PVP01-0007570	0	FALSE	FALSE
PVP01_0007580	PVP01-0007580	0	FALSE	FALSE
PVP01_0007590	PVP01-0007590	0	FALSE	FALSE
PVP01_0007600	PVP01-0007600	0	FALSE	FALSE
PVP01_0007920	PVP01-0007920	122	FALSE	TRUE
PVP01_0007930	PVP01-0007930	13	FALSE	TRUE
PVP01_0007940	PVP01-0007940	2	FALSE	TRUE
PVP01_0007950	PVP01-0007950	0	FALSE	FALSE
PVP01_0007960	PVP01-0007960	0	FALSE	FALSE
PVP01_0007970	PVP01-0007970	0	FALSE	FALSE
PVP01_0007980	PVP01-0007980	0	FALSE	FALSE
PVP01_0007990	PVP01-0007990	2	FALSE	TRUE
PVP01_0008000	PVP01-0008000	1	FALSE	TRUE
PVP01_0008010	PVP01-0008010	3	FALSE	TRUE
PVP01_0011040	PVP01-0011040	1	FALSE	TRUE
PVP01_0010280	PVP01-0010280	0	FALSE	FALSE
PVP01_0010380	PVP01-0010380	2	FALSE	TRUE
PVP01_0010580	PVP01-0010580	0	FALSE	FALSE
PVP01_0010980	PVP01-0010980	0	FALSE	FALSE
PVP01_0005710	PVP01-0005710	1	FALSE	TRUE
PVP01_0005720	PVP01-0005720	2	FALSE	TRUE
PVP01_0005730	PVP01-0005730	3	FALSE	TRUE
PVP01_0005740	PVP01-0005740	6	FALSE	TRUE
PVP01_0005750	PVP01-0005750	7	FALSE	TRUE
PVP01_0005760	PVP01-0005760	1	FALSE	TRUE
PVP01_0005770	PVP01-0005770	0	FALSE	FALSE
PVP01_0005780	PVP01-0005780	0	FALSE	FALSE
PVP01_0005790	PVP01-0005790	0	FALSE	FALSE
PVP01_0005800	PVP01-0005800	0	FALSE	FALSE
PVP01_0005810	PVP01-0005810	0	FALSE	FALSE
PVP01_0005820	PVP01-0005820	4	FALSE	TRUE
PVP01_0005825	PVP01-0005825	0	FALSE	FALSE
PVP01_0005830	PVP01-0005830	0	FALSE	FALSE
PVP01_0005840	PVP01-0005840	0	FALSE	FALSE
PVP01_0005850	PVP01-0005850	0	FALSE	FALSE
PVP01_0005860	PVP01-0005860	0	FALSE	FALSE
PVP01_0005870	PVP01-0005870	50	FALSE	TRUE
PVP01_0005880	PVP01-0005880	3	FALSE	TRUE
PVP01_0005890	PVP01-0005890	3	FALSE	TRUE
PVP01_0005900	PVP01-0005900	0	FALSE	FALSE
PVP01_0005910	PVP01-0005910	0	FALSE	FALSE
PVP01_0010000	PVP01-0010000	1	FALSE	TRUE
PVP01_0010010	PVP01-0010010	1	FALSE	TRUE
PVP01_0010160	PVP01-0010160	0	FALSE	FALSE
PVP01_0007240	PVP01-0007240	4	FALSE	TRUE
PVP01_0007250	PVP01-0007250	0	FALSE	FALSE
PVP01_0007260	PVP01-0007260	2	FALSE	TRUE
PVP01_0007270	PVP01-0007270	0	FALSE	FALSE
PVP01_0007280	PVP01-0007280	2	FALSE	TRUE
PVP01_0007290	PVP01-0007290	0	FALSE	FALSE
PVP01_0007300	PVP01-0007300	6	FALSE	TRUE
PVP01_0007310	PVP01-0007310	0	FALSE	FALSE
PVP01_0007320	PVP01-0007320	2	FALSE	TRUE
PVP01_0007330	PVP01-0007330	7	FALSE	TRUE
PVP01_0007340	PVP01-0007340	0	FALSE	FALSE
PVP01_0007350	PVP01-0007350	0	FALSE	FALSE
PVP01_0010930	PVP01-0010930	0	FALSE	FALSE
PVP01_0010630	PVP01-0010630	0	FALSE	FALSE
PVP01_0009530	PVP01-0009530	0	FALSE	FALSE
PVP01_0009540	PVP01-0009540	0	FALSE	FALSE
PVP01_0009550	PVP01-0009550	0	FALSE	FALSE
PVP01_0009560	PVP01-0009560	2	FALSE	TRUE
PVP01_0000010	PVP01-0000010	0	FALSE	FALSE
PVP01_0000020	PVP01-0000020	2	FALSE	TRUE
PVP01_0000030	PVP01-0000030	23	FALSE	TRUE
PVP01_0000040	PVP01-0000040	17	FALSE	TRUE
PVP01_0000050	PVP01-0000050	40	FALSE	TRUE
PVP01_0000060	PVP01-0000060	57	FALSE	TRUE
PVP01_0000070	PVP01-0000070	61	FALSE	TRUE
PVP01_0000080	PVP01-0000080	188	FALSE	TRUE
PVP01_0000090	PVP01-0000090	281	FALSE	TRUE
PVP01_0000100	PVP01-0000100	338	FALSE	TRUE
PVP01_0000110	PVP01-0000110	15	FALSE	TRUE
PVP01_0000120	PVP01-0000120	80	FALSE	TRUE
PVP01_0000130	PVP01-0000130	1089	FALSE	TRUE
PVP01_0000140	PVP01-0000140	29	FALSE	TRUE
PVP01_0000150	PVP01-0000150	96	FALSE	TRUE
PVP01_0000160	PVP01-0000160	22	FALSE	TRUE
PVP01_0000170	PVP01-0000170	21	FALSE	TRUE
PVP01_0000180	PVP01-0000180	6	FALSE	TRUE
PVP01_0000190	PVP01-0000190	162	FALSE	TRUE
PVP01_0000200	PVP01-0000200	265	FALSE	TRUE
PVP01_0000210	PVP01-0000210	5	FALSE	TRUE
PVP01_0000220	PVP01-0000220	1	FALSE	TRUE
PVP01_0000230	PVP01-0000230	2	FALSE	TRUE
PVP01_0000240	PVP01-0000240	3	FALSE	TRUE
PVP01_0000250	PVP01-0000250	1	FALSE	TRUE
PVP01_0000260	PVP01-0000260	0	FALSE	FALSE
PVP01_0000270	PVP01-0000270	2	FALSE	TRUE
PVP01_0000280	PVP01-0000280	0	FALSE	FALSE
PVP01_0000290	PVP01-0000290	2	FALSE	TRUE
PVP01_0000300	PVP01-0000300	0	FALSE	FALSE
PVP01_0000310	PVP01-0000310	21	FALSE	TRUE
PVP01_0000320	PVP01-0000320	0	FALSE	FALSE
PVP01_0000330	PVP01-0000330	0	FALSE	FALSE
PVP01_0000340	PVP01-0000340	2	FALSE	TRUE
PVP01_0000350	PVP01-0000350	0	FALSE	FALSE
PVP01_0000360	PVP01-0000360	0	FALSE	FALSE
PVP01_0000370	PVP01-0000370	0	FALSE	FALSE
PVP01_0000380	PVP01-0000380	0	FALSE	FALSE
PVP01_0000390	PVP01-0000390	0	FALSE	FALSE
PVP01_0000400	PVP01-0000400	0	FALSE	FALSE
PVP01_0000410	PVP01-0000410	0	FALSE	FALSE
PVP01_0000420	PVP01-0000420	1	FALSE	TRUE
PVP01_0000430	PVP01-0000430	0	FALSE	FALSE
PVP01_0000440	PVP01-0000440	0	FALSE	FALSE
PVP01_0000450	PVP01-0000450	0	FALSE	FALSE
PVP01_0000460	PVP01-0000460	0	FALSE	FALSE
PVP01_0000470	PVP01-0000470	0	FALSE	FALSE
PVP01_0000480	PVP01-0000480	0	FALSE	FALSE
PVP01_0000490	PVP01-0000490	0	FALSE	FALSE
PVP01_0000500	PVP01-0000500	0	FALSE	FALSE
PVP01_0000510	PVP01-0000510	0	FALSE	FALSE
PVP01_0000520	PVP01-0000520	0	FALSE	FALSE
PVP01_0000530	PVP01-0000530	0	FALSE	FALSE
PVP01_0000540	PVP01-0000540	0	FALSE	FALSE
PVP01_0000550	PVP01-0000550	0	FALSE	FALSE
PVP01_0000560	PVP01-0000560	0	FALSE	FALSE
PVP01_0000570	PVP01-0000570	0	FALSE	FALSE
PVP01_0000580	PVP01-0000580	0	FALSE	FALSE
PVP01_0000590	PVP01-0000590	0	FALSE	FALSE
PVP01_0000600	PVP01-0000600	0	FALSE	FALSE
PVP01_0000610	PVP01-0000610	0	FALSE	FALSE
PVP01_0000620	PVP01-0000620	0	FALSE	FALSE
PVP01_0000630	PVP01-0000630	0	FALSE	FALSE
PVP01_0000640	PVP01-0000640	0	FALSE	FALSE
PVP01_0000650	PVP01-0000650	0	FALSE	FALSE
PVP01_0000660	PVP01-0000660	0	FALSE	FALSE
PVP01_0000670	PVP01-0000670	0	FALSE	FALSE
PVP01_0000680	PVP01-0000680	0	FALSE	FALSE
PVP01_0000690	PVP01-0000690	0	FALSE	FALSE
PVP01_0000700	PVP01-0000700	0	FALSE	FALSE
PVP01_0000710	PVP01-0000710	0	FALSE	FALSE
PVP01_0000720	PVP01-0000720	0	FALSE	FALSE
PVP01_0000730	PVP01-0000730	0	FALSE	FALSE
PVP01_0000740	PVP01-0000740	0	FALSE	FALSE
PVP01_0000750	PVP01-0000750	0	FALSE	FALSE
PVP01_0000760	PVP01-0000760	0	FALSE	FALSE
PVP01_0000770	PVP01-0000770	0	FALSE	FALSE
PVP01_0000780	PVP01-0000780	0	FALSE	FALSE
PVP01_0000790	PVP01-0000790	0	FALSE	FALSE
PVP01_0000800	PVP01-0000800	0	FALSE	FALSE
PVP01_0000810	PVP01-0000810	6	FALSE	TRUE
PVP01_0000820	PVP01-0000820	0	FALSE	FALSE
PVP01_0000830	PVP01-0000830	0	FALSE	FALSE
PVP01_0000840	PVP01-0000840	1	FALSE	TRUE
PVP01_0000850	PVP01-0000850	0	FALSE	FALSE
PVP01_0000860	PVP01-0000860	0	FALSE	FALSE
PVP01_0000870	PVP01-0000870	0	FALSE	FALSE
PVP01_0000880	PVP01-0000880	0	FALSE	FALSE
PVP01_0000890	PVP01-0000890	0	FALSE	FALSE
PVP01_0000900	PVP01-0000900	0	FALSE	FALSE
PVP01_0000910	PVP01-0000910	0	FALSE	FALSE
PVP01_0010130	PVP01-0010130	0	FALSE	FALSE
