study_label	run_id	host_id	strain	day_post_infection	treatment	host_species	liver_form	cells
Mancio_silva2022	SRR18134233	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134234	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134235	NA	patient isolate	14	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134236	NA	patient isolate	14	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134237	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134238	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134239	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134240	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134241	NA	patient isolate	14	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134242	NA	patient isolate	14	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134243	NA	patient isolate	1	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134244	NA	patient isolate	1	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134245	NA	patient isolate	1	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134246	NA	patient isolate	1	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134247	NA	patient isolate	1	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134248	NA	patient isolate	1	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134249	NA	patient isolate	4	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134250	NA	patient isolate	4	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134251	NA	patient isolate	4	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134252	NA	patient isolate	4	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134253	NA	patient isolate	4	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134254	NA	patient isolate	4	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134255	NA	patient isolate	5	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134256	NA	patient isolate	5	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134257	NA	patient isolate	5	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134258	NA	patient isolate	5	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134259	NA	patient isolate	5	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134260	NA	patient isolate	5	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134261	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134262	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134263	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134264	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134265	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134266	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134267	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134268	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134269	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134270	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134271	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134272	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134273	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134274	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134275	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134276	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134277	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134278	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134279	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134280	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134281	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134282	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	25
Mancio_silva2022	SRR18134283	NA	patient isolate	11	No_Treatment	Homo sapiens	NA	25
