run_accession	experiment_accession	submitted_ftp	submitted_format	fastq_ftp
SRR18134238	SRX14282302			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/038/SRR18134238/SRR18134238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/038/SRR18134238/SRR18134238_2.fastq.gz
SRR18134240	SRX14282304			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/040/SRR18134240/SRR18134240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/040/SRR18134240/SRR18134240_2.fastq.gz
SRR18134251	SRX14282321			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/051/SRR18134251/SRR18134251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/051/SRR18134251/SRR18134251_2.fastq.gz
SRR18134252	SRX14282321			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/052/SRR18134252/SRR18134252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/052/SRR18134252/SRR18134252_2.fastq.gz
SRR18134260	SRX14282326			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/060/SRR18134260/SRR18134260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/060/SRR18134260/SRR18134260_2.fastq.gz
SRR18134275	SRX14282313			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/075/SRR18134275/SRR18134275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/075/SRR18134275/SRR18134275_2.fastq.gz
SRR18134279	SRX14282295			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/079/SRR18134279/SRR18134279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/079/SRR18134279/SRR18134279_2.fastq.gz
SRR18134236	SRX14282300			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/036/SRR18134236/SRR18134236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/036/SRR18134236/SRR18134236_2.fastq.gz
SRR18134237	SRX14282301			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/037/SRR18134237/SRR18134237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/037/SRR18134237/SRR18134237_2.fastq.gz
SRR18134243	SRX14282315			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/043/SRR18134243/SRR18134243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/043/SRR18134243/SRR18134243_2.fastq.gz
SRR18134259	SRX14282326			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/059/SRR18134259/SRR18134259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/059/SRR18134259/SRR18134259_2.fastq.gz
SRR18134262	SRX14282328			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/062/SRR18134262/SRR18134262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/062/SRR18134262/SRR18134262_2.fastq.gz
SRR18134265	SRX14282330			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/065/SRR18134265/SRR18134265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/065/SRR18134265/SRR18134265_2.fastq.gz
SRR18134273	SRX14282311			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/073/SRR18134273/SRR18134273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/073/SRR18134273/SRR18134273_2.fastq.gz
SRR18134277	SRX14282314			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/077/SRR18134277/SRR18134277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/077/SRR18134277/SRR18134277_2.fastq.gz
