run_id	host_id	strain	day_post_infection	hour_post_invasion	life_cycle_stage	pred_gametocyte	cells
SRR27021955	5309_2	Chesson	16	12	Ring	Asexual 1	22
SRR27021955	5309_2	Chesson	16	24	Female gametocyte	Female gametocyte	2
SRR27021955	5309_2	Chesson	16	24	Trophozoite	Asexual 1	30
SRR27021955	5309_2	Chesson	16	24	Trophozoite	Asexual 2	12
SRR27021955	5309_2	Chesson	16	24	Trophozoite	Asexual 4	1
SRR27021955	5309_2	Chesson	16	32	Schizont (Blood stage)	Asexual 1	1
SRR27021955	5309_2	Chesson	16	32	Schizont (Blood stage)	Asexual 2	54
SRR27021955	5309_2	Chesson	16	32	Schizont (Blood stage)	Asexual 4	2
SRR27021955	5309_2	Chesson	16	36	Female gametocyte	Female gametocyte	126
SRR27021955	5309_2	Chesson	16	36	Schizont (Blood stage)	Asexual 1	1
SRR27021955	5309_2	Chesson	16	36	Schizont (Blood stage)	Asexual 2	1224
SRR27021955	5309_2	Chesson	16	36	Schizont (Blood stage)	Asexual 3	51
SRR27021955	5309_2	Chesson	16	36	Schizont (Blood stage)	Asexual 4	13
SRR27021955	5309_2	Chesson	16	42	Female gametocyte	Female gametocyte	13
SRR27021955	5309_2	Chesson	16	42	Schizont (Blood stage)	Asexual 2	66
SRR27021955	5309_2	Chesson	16	42	Schizont (Blood stage)	Asexual 3	468
SRR27021955	5309_2	Chesson	16	42	Schizont (Blood stage)	Asexual 4	7
SRR27021955	5309_2	Chesson	16	48	Female gametocyte	Female gametocyte	187
SRR27021955	5309_2	Chesson	16	48	Merozoite	Asexual 3	72
SRR27021955	5309_2	Chesson	16	48	Merozoite	Asexual 4	10
SRR27021955	5309_2	Chesson	16	6	Female gametocyte	Female gametocyte	37
SRR27021955	5309_2	Chesson	16	6	Ring	Asexual 1	4
SRR27021956	5309_1	Chesson	14	12	Ring	Asexual 1	141
SRR27021956	5309_1	Chesson	14	12	Ring	Asexual 2	1
SRR27021956	5309_1	Chesson	14	12	Ring	Asexual 3	5
SRR27021956	5309_1	Chesson	14	24	Female gametocyte	Female gametocyte	9
SRR27021956	5309_1	Chesson	14	24	Trophozoite	Asexual 1	635
SRR27021956	5309_1	Chesson	14	24	Trophozoite	Asexual 2	134
SRR27021956	5309_1	Chesson	14	24	Trophozoite	Asexual 3	10
SRR27021956	5309_1	Chesson	14	32	Female gametocyte	Female gametocyte	8
SRR27021956	5309_1	Chesson	14	32	Schizont (Blood stage)	Asexual 1	46
SRR27021956	5309_1	Chesson	14	32	Schizont (Blood stage)	Asexual 2	116
SRR27021956	5309_1	Chesson	14	32	Schizont (Blood stage)	Asexual 4	6
SRR27021956	5309_1	Chesson	14	36	Female gametocyte	Female gametocyte	248
SRR27021956	5309_1	Chesson	14	36	Schizont (Blood stage)	Asexual 1	20
SRR27021956	5309_1	Chesson	14	36	Schizont (Blood stage)	Asexual 2	549
SRR27021956	5309_1	Chesson	14	36	Schizont (Blood stage)	Asexual 3	31
SRR27021956	5309_1	Chesson	14	36	Schizont (Blood stage)	Asexual 4	47
SRR27021956	5309_1	Chesson	14	42	Female gametocyte	Female gametocyte	18
SRR27021956	5309_1	Chesson	14	42	Schizont (Blood stage)	Asexual 1	3
SRR27021956	5309_1	Chesson	14	42	Schizont (Blood stage)	Asexual 2	16
SRR27021956	5309_1	Chesson	14	42	Schizont (Blood stage)	Asexual 3	804
SRR27021956	5309_1	Chesson	14	42	Schizont (Blood stage)	Asexual 4	19
SRR27021956	5309_1	Chesson	14	48	Female gametocyte	Female gametocyte	147
SRR27021956	5309_1	Chesson	14	48	Merozoite	Asexual 2	1
SRR27021956	5309_1	Chesson	14	48	Merozoite	Asexual 3	160
SRR27021956	5309_1	Chesson	14	48	Merozoite	Asexual 4	6
SRR27021956	5309_1	Chesson	14	6	Female gametocyte	Female gametocyte	29
SRR27021956	5309_1	Chesson	14	6	Ring	Asexual 1	28
SRR27021956	5309_1	Chesson	14	6	Ring	Asexual 3	3
SRR27021956	5309_1	Chesson	14	6	Ring	Asexual 4	2
SRR27021960	5708_4	Chesson&NIH1993	26	12	Female gametocyte	Female gametocyte	5
SRR27021960	5708_4	Chesson&NIH1993	26	12	Ring	Asexual 1	22
SRR27021960	5708_4	Chesson&NIH1993	26	12	Ring	Asexual 2	1
SRR27021960	5708_4	Chesson&NIH1993	26	24	Female gametocyte	Female gametocyte	22
SRR27021960	5708_4	Chesson&NIH1993	26	24	Trophozoite	Asexual 1	136
SRR27021960	5708_4	Chesson&NIH1993	26	24	Trophozoite	Asexual 2	88
SRR27021960	5708_4	Chesson&NIH1993	26	24	Trophozoite	Asexual 3	1
SRR27021960	5708_4	Chesson&NIH1993	26	24	Trophozoite	Asexual 4	1
SRR27021960	5708_4	Chesson&NIH1993	26	32	Female gametocyte	Female gametocyte	19
SRR27021960	5708_4	Chesson&NIH1993	26	32	Schizont (Blood stage)	Asexual 1	27
SRR27021960	5708_4	Chesson&NIH1993	26	32	Schizont (Blood stage)	Asexual 2	100
SRR27021960	5708_4	Chesson&NIH1993	26	32	Schizont (Blood stage)	Asexual 3	2
SRR27021960	5708_4	Chesson&NIH1993	26	32	Schizont (Blood stage)	Asexual 4	3
SRR27021960	5708_4	Chesson&NIH1993	26	36	Female gametocyte	Female gametocyte	435
SRR27021960	5708_4	Chesson&NIH1993	26	36	Schizont (Blood stage)	Asexual 1	23
SRR27021960	5708_4	Chesson&NIH1993	26	36	Schizont (Blood stage)	Asexual 2	1720
SRR27021960	5708_4	Chesson&NIH1993	26	36	Schizont (Blood stage)	Asexual 3	138
SRR27021960	5708_4	Chesson&NIH1993	26	36	Schizont (Blood stage)	Asexual 4	30
SRR27021960	5708_4	Chesson&NIH1993	26	42	Female gametocyte	Female gametocyte	31
SRR27021960	5708_4	Chesson&NIH1993	26	42	Schizont (Blood stage)	Asexual 1	8
SRR27021960	5708_4	Chesson&NIH1993	26	42	Schizont (Blood stage)	Asexual 2	22
SRR27021960	5708_4	Chesson&NIH1993	26	42	Schizont (Blood stage)	Asexual 3	954
SRR27021960	5708_4	Chesson&NIH1993	26	42	Schizont (Blood stage)	Asexual 4	6
SRR27021960	5708_4	Chesson&NIH1993	26	48	Female gametocyte	Female gametocyte	46
SRR27021960	5708_4	Chesson&NIH1993	26	48	Merozoite	Asexual 1	6
SRR27021960	5708_4	Chesson&NIH1993	26	48	Merozoite	Asexual 2	2
SRR27021960	5708_4	Chesson&NIH1993	26	48	Merozoite	Asexual 3	144
SRR27021960	5708_4	Chesson&NIH1993	26	48	Merozoite	Asexual 4	6
SRR27021960	5708_4	Chesson&NIH1993	26	6	Female gametocyte	Female gametocyte	18
SRR27021960	5708_4	Chesson&NIH1993	26	6	Ring	Asexual 1	11
SRR27021960	5708_4	Chesson&NIH1993	26	6	Ring	Asexual 3	1
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	12	Female gametocyte	Female gametocyte	3
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	12	Ring	Asexual 1	27
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	12	Ring	Asexual 3	1
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	24	Female gametocyte	Female gametocyte	16
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	24	Trophozoite	Asexual 1	213
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	24	Trophozoite	Asexual 2	33
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	24	Trophozoite	Asexual 4	1
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	32	Female gametocyte	Female gametocyte	17
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 1	62
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 2	17
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 3	1
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 4	1
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	36	Female gametocyte	Female gametocyte	129
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 1	53
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 2	86
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 3	7
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 4	2
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	42	Female gametocyte	Female gametocyte	8
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	42	Schizont (Blood stage)	Asexual 1	1
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	42	Schizont (Blood stage)	Asexual 3	48
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	48	Female gametocyte	Female gametocyte	9
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	48	Merozoite	Asexual 1	3
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	48	Merozoite	Asexual 3	13
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	6	Female gametocyte	Female gametocyte	7
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	6	Ring	Asexual 1	15
SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	6	Ring	Asexual 3	1
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	12	Female gametocyte	Female gametocyte	1
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	12	Ring	Asexual 1	63
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	24	Female gametocyte	Female gametocyte	19
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	24	Trophozoite	Asexual 1	303
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	24	Trophozoite	Asexual 2	84
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	32	Female gametocyte	Female gametocyte	22
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	32	Schizont (Blood stage)	Asexual 1	103
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	32	Schizont (Blood stage)	Asexual 2	38
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	36	Female gametocyte	Female gametocyte	82
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	36	Schizont (Blood stage)	Asexual 1	73
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	36	Schizont (Blood stage)	Asexual 2	198
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	36	Schizont (Blood stage)	Asexual 3	2
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	42	Female gametocyte	Female gametocyte	2
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	42	Schizont (Blood stage)	Asexual 1	6
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	42	Schizont (Blood stage)	Asexual 2	1
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	42	Schizont (Blood stage)	Asexual 3	22
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	48	Female gametocyte	Female gametocyte	5
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	48	Merozoite	Asexual 1	9
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	48	Merozoite	Asexual 3	2
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	48	Merozoite	Asexual 4	1
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	6	Female gametocyte	Female gametocyte	3
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	6	Ring	Asexual 1	24
SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	6	Ring	Asexual 2	1
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	12	Female gametocyte	Female gametocyte	7
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	12	Ring	Asexual 1	48
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	24	Female gametocyte	Female gametocyte	33
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	24	Trophozoite	Asexual 1	265
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	24	Trophozoite	Asexual 2	78
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	32	Female gametocyte	Female gametocyte	29
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	32	Schizont (Blood stage)	Asexual 1	92
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	32	Schizont (Blood stage)	Asexual 2	53
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	32	Schizont (Blood stage)	Asexual 4	1
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	36	Female gametocyte	Female gametocyte	149
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	36	Schizont (Blood stage)	Asexual 1	62
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	36	Schizont (Blood stage)	Asexual 2	213
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	36	Schizont (Blood stage)	Asexual 3	7
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	42	Female gametocyte	Female gametocyte	11
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	42	Schizont (Blood stage)	Asexual 1	7
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	42	Schizont (Blood stage)	Asexual 2	8
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	42	Schizont (Blood stage)	Asexual 3	47
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	48	Female gametocyte	Female gametocyte	10
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	48	Merozoite	Asexual 1	12
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	48	Merozoite	Asexual 2	1
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	48	Merozoite	Asexual 3	6
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	6	Female gametocyte	Female gametocyte	5
SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	6	Ring	Asexual 1	37
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	12	Female gametocyte	Female gametocyte	2
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	12	Ring	Asexual 1	43
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	12	Ring	Asexual 3	2
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	24	Female gametocyte	Female gametocyte	43
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	24	Trophozoite	Asexual 1	402
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	24	Trophozoite	Asexual 2	114
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	32	Female gametocyte	Female gametocyte	41
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 1	129
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 2	90
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 3	2
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	36	Female gametocyte	Female gametocyte	263
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 1	90
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 2	271
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 3	17
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	42	Female gametocyte	Female gametocyte	19
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	42	Schizont (Blood stage)	Asexual 1	12
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	42	Schizont (Blood stage)	Asexual 2	7
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	42	Schizont (Blood stage)	Asexual 3	94
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	48	Female gametocyte	Female gametocyte	25
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	48	Merozoite	Asexual 1	9
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	48	Merozoite	Asexual 3	22
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	6	Female gametocyte	Female gametocyte	18
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	6	Ring	Asexual 1	22
SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	6	Ring	Asexual 2	1
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	12	Female gametocyte	Female gametocyte	19
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	12	Ring	Asexual 1	77
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	12	Ring	Asexual 2	1
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	12	Ring	Asexual 3	1
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	24	Female gametocyte	Female gametocyte	49
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	24	Trophozoite	Asexual 1	442
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	24	Trophozoite	Asexual 2	242
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	24	Trophozoite	Asexual 3	1
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	32	Female gametocyte	Female gametocyte	88
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 1	200
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 2	164
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	32	Schizont (Blood stage)	Asexual 4	2
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	36	Female gametocyte	Female gametocyte	683
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 1	146
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 2	680
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 3	14
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	36	Schizont (Blood stage)	Asexual 4	1
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	42	Female gametocyte	Female gametocyte	58
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	42	Schizont (Blood stage)	Asexual 1	15
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	42	Schizont (Blood stage)	Asexual 2	6
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	42	Schizont (Blood stage)	Asexual 3	139
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	42	Schizont (Blood stage)	Asexual 4	1
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	48	Female gametocyte	Female gametocyte	34
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	48	Merozoite	Asexual 1	15
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	48	Merozoite	Asexual 3	34
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	6	Female gametocyte	Female gametocyte	18
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	6	Ring	Asexual 1	46
SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	6	Ring	Asexual 4	1
SRR27021971	5708_3	Chesson&NIH1993	30	12	Ring	Asexual 1	47
SRR27021971	5708_3	Chesson&NIH1993	30	12	Ring	Asexual 2	2
SRR27021971	5708_3	Chesson&NIH1993	30	12	Ring	Asexual 3	2
SRR27021971	5708_3	Chesson&NIH1993	30	24	Female gametocyte	Female gametocyte	10
SRR27021971	5708_3	Chesson&NIH1993	30	24	Trophozoite	Asexual 1	160
SRR27021971	5708_3	Chesson&NIH1993	30	24	Trophozoite	Asexual 2	71
SRR27021971	5708_3	Chesson&NIH1993	30	24	Trophozoite	Asexual 3	3
SRR27021971	5708_3	Chesson&NIH1993	30	32	Female gametocyte	Female gametocyte	12
SRR27021971	5708_3	Chesson&NIH1993	30	32	Schizont (Blood stage)	Asexual 1	31
SRR27021971	5708_3	Chesson&NIH1993	30	32	Schizont (Blood stage)	Asexual 2	79
SRR27021971	5708_3	Chesson&NIH1993	30	32	Schizont (Blood stage)	Asexual 4	8
SRR27021971	5708_3	Chesson&NIH1993	30	36	Female gametocyte	Female gametocyte	327
SRR27021971	5708_3	Chesson&NIH1993	30	36	Schizont (Blood stage)	Asexual 1	34
SRR27021971	5708_3	Chesson&NIH1993	30	36	Schizont (Blood stage)	Asexual 2	1202
SRR27021971	5708_3	Chesson&NIH1993	30	36	Schizont (Blood stage)	Asexual 3	51
SRR27021971	5708_3	Chesson&NIH1993	30	36	Schizont (Blood stage)	Asexual 4	16
SRR27021971	5708_3	Chesson&NIH1993	30	42	Female gametocyte	Female gametocyte	94
SRR27021971	5708_3	Chesson&NIH1993	30	42	Schizont (Blood stage)	Asexual 1	39
SRR27021971	5708_3	Chesson&NIH1993	30	42	Schizont (Blood stage)	Asexual 2	86
SRR27021971	5708_3	Chesson&NIH1993	30	42	Schizont (Blood stage)	Asexual 3	993
SRR27021971	5708_3	Chesson&NIH1993	30	42	Schizont (Blood stage)	Asexual 4	5
SRR27021971	5708_3	Chesson&NIH1993	30	48	Female gametocyte	Female gametocyte	20
SRR27021971	5708_3	Chesson&NIH1993	30	48	Merozoite	Asexual 1	13
SRR27021971	5708_3	Chesson&NIH1993	30	48	Merozoite	Asexual 2	2
SRR27021971	5708_3	Chesson&NIH1993	30	48	Merozoite	Asexual 3	178
SRR27021971	5708_3	Chesson&NIH1993	30	48	Merozoite	Asexual 4	1
SRR27021971	5708_3	Chesson&NIH1993	30	6	Female gametocyte	Female gametocyte	7
SRR27021971	5708_3	Chesson&NIH1993	30	6	Ring	Asexual 1	23
SRR27021971	5708_3	Chesson&NIH1993	30	6	Ring	Asexual 3	1
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	12	Female gametocyte	Female gametocyte	4
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	12	Ring	Asexual 1	43
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	12	Ring	Asexual 2	1
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	12	Ring	Asexual 3	2
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	24	Female gametocyte	Female gametocyte	54
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	24	Trophozoite	Asexual 1	334
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	24	Trophozoite	Asexual 2	290
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	32	Female gametocyte	Female gametocyte	71
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	32	Schizont (Blood stage)	Asexual 1	165
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	32	Schizont (Blood stage)	Asexual 2	238
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	32	Schizont (Blood stage)	Asexual 3	1
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	32	Schizont (Blood stage)	Asexual 4	3
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	36	Female gametocyte	Female gametocyte	479
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	36	Schizont (Blood stage)	Asexual 1	135
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	36	Schizont (Blood stage)	Asexual 2	958
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	36	Schizont (Blood stage)	Asexual 3	15
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	36	Schizont (Blood stage)	Asexual 4	3
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	42	Female gametocyte	Female gametocyte	18
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	42	Schizont (Blood stage)	Asexual 1	9
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	42	Schizont (Blood stage)	Asexual 2	5
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	42	Schizont (Blood stage)	Asexual 3	52
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	48	Female gametocyte	Female gametocyte	17
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	48	Merozoite	Asexual 1	5
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	48	Merozoite	Asexual 3	12
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	6	Female gametocyte	Female gametocyte	5
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	6	Ring	Asexual 1	30
SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	6	Ring	Asexual 2	1
SRR27021975	5164_2	NIH1993-F3&Chesson	16	12	Ring	Asexual 1	69
SRR27021975	5164_2	NIH1993-F3&Chesson	16	12	Ring	Asexual 2	1
SRR27021975	5164_2	NIH1993-F3&Chesson	16	24	Female gametocyte	Female gametocyte	18
SRR27021975	5164_2	NIH1993-F3&Chesson	16	24	Trophozoite	Asexual 1	100
SRR27021975	5164_2	NIH1993-F3&Chesson	16	24	Trophozoite	Asexual 2	75
SRR27021975	5164_2	NIH1993-F3&Chesson	16	24	Trophozoite	Asexual 4	1
SRR27021975	5164_2	NIH1993-F3&Chesson	16	32	Female gametocyte	Female gametocyte	6
SRR27021975	5164_2	NIH1993-F3&Chesson	16	32	Schizont (Blood stage)	Asexual 1	2
SRR27021975	5164_2	NIH1993-F3&Chesson	16	32	Schizont (Blood stage)	Asexual 2	171
SRR27021975	5164_2	NIH1993-F3&Chesson	16	36	Female gametocyte	Female gametocyte	227
SRR27021975	5164_2	NIH1993-F3&Chesson	16	36	Schizont (Blood stage)	Asexual 1	2
SRR27021975	5164_2	NIH1993-F3&Chesson	16	36	Schizont (Blood stage)	Asexual 2	763
SRR27021975	5164_2	NIH1993-F3&Chesson	16	36	Schizont (Blood stage)	Asexual 3	4
SRR27021975	5164_2	NIH1993-F3&Chesson	16	36	Schizont (Blood stage)	Asexual 4	2
SRR27021975	5164_2	NIH1993-F3&Chesson	16	42	Female gametocyte	Female gametocyte	13
SRR27021975	5164_2	NIH1993-F3&Chesson	16	42	Schizont (Blood stage)	Asexual 2	12
SRR27021975	5164_2	NIH1993-F3&Chesson	16	42	Schizont (Blood stage)	Asexual 3	63
SRR27021975	5164_2	NIH1993-F3&Chesson	16	42	Schizont (Blood stage)	Asexual 4	1
SRR27021975	5164_2	NIH1993-F3&Chesson	16	48	Female gametocyte	Female gametocyte	239
SRR27021975	5164_2	NIH1993-F3&Chesson	16	48	Merozoite	Asexual 3	12
SRR27021975	5164_2	NIH1993-F3&Chesson	16	48	Merozoite	Asexual 4	6
SRR27021975	5164_2	NIH1993-F3&Chesson	16	6	Female gametocyte	Female gametocyte	26
SRR27021975	5164_2	NIH1993-F3&Chesson	16	6	Ring	Asexual 1	19
SRR27021976	5164_1	NIH1993-F3&Chesson	14	12	Ring	Asexual 1	109
SRR27021976	5164_1	NIH1993-F3&Chesson	14	24	Female gametocyte	Female gametocyte	31
SRR27021976	5164_1	NIH1993-F3&Chesson	14	24	Trophozoite	Asexual 1	332
